Results From Algorithm,Original Result
Genuine,GENUINE
Fake,GENUINE
Genuine,GENUINE
Genuine,GENUINE
Genuine,GENUINE
Genuine,GENUINE
Genuine,GENUINE
Genuine,GENUINE
Fake,GENUINE
No Results Found,FAKE
Fake,FAKE
No Results Found,FAKE
Genuine,FAKE
Fake,FAKE
Genuine,FAKE
Ambiguous,FAKE
Ambiguous,FAKE
Ambiguous,FAKE
Genuine,GENUINE
Genuine,GENUINE
No Results Found,GENUINE
No Results Found,GENUINE
No Results Found,GENUINE
No Results Found,GENUINE
No Results Found,GENUINE
No Results Found,GENUINE
No Results Found,GENUINE
No Results Found,GENUINE
Fake,FAKE
Genuine,FAKE
No Results Found,FAKE
No Results Found,FAKE
Ambiguous,FAKE
Fake,FAKE
Genuine,FAKE
Fake,GENUINE
No Results Found,GENUINE
No Results Found,FAKE
No Results Found,GENUINE
No Results Found,FAKE
Genuine,GENUINE
Fake,GENUINE
Genuine,GENUINE
Fake,FAKE
No Results Found,FAKE
Genuine,GENUINE
Genuine,FAKE
Genuine,GENUINE
Genuine,GENUINE
Genuine,FAKE
Genuine,FAKE
Genuine,GENUINE
Fake,FAKE
Fake,FAKE
Genuine,GENUINE
Fake,GENUINE
Genuine,GENUINE
No Results Found,FAKE
Genuine,GENUINE
Genuine,FAKE
Genuine,GENUINE
Genuine,GENUINE
Genuine,FAKE
Genuine,GENUINE
Fake,FAKE
Genuine,GENUINE
Genuine,GENUINE
Genuine,GENUINE
Genuine,FAKE
Genuine,GENUINE
No Results Found,FAKE
Genuine,GENUINE
Fake,FAKE
Fake,FAKE
Genuine,GENUINE
No Results Found,GENUINE
Genuine,GENUINE
Genuine,GENUINE
Fake,GENUINE
Genuine,FAKE
Genuine,GENUINE
Fake,FAKE
Ambiguous,FAKE
Genuine,FAKE
Genuine,GENUINE
Fake,FAKE
Genuine,GENUINE
Genuine,FAKE
Genuine,GENUINE
Genuine,GENUINE
No Results Found,FAKE
Ambiguous,GENUINE
Genuine,GENUINE
Genuine,GENUINE
Genuine,GENUINE
No Results Found,FAKE
Fake,GENUINE
Fake,FAKE
Fake,FAKE
Genuine,FAKE
Genuine,GENUINE
Genuine,GENUINE
Fake,FAKE
Genuine,GENUINE
